REDE;NR_LATITUDE_LOJA;NR_LONGITUDE_LOJA;ID_LOJA_LEGADO;TIPO_LOJA;FL_ANALISE_MADURAS
RAIA;-22,9153026;-43,244272799999997;10112;CONCORRENTES;0
RAIA;-22,918810000000001;-43,550966000000003;10113;CONCORRENTES;0
RAIA;-22,9707437;-43,388728299999997;10114;CONCORRENTES;0
RAIA;-22,942698799999999;-43,340649399999997;10115;CONCORRENTES;0
RAIA;-22,8053463;-43,201886299999998;10116;CONCORRENTES;0
RAIA;-22,998363099999999;-43,269987999999998;10117;CONCORRENTES;0
RAIA;-22,8713704;-43,341298299999998;10118;CONCORRENTES;0
RAIA;-22,916675900000001;-43,377179299999987;10119;CONCORRENTES;0
RAIA;-22,927935000000002;-43,358968500000003;10120;CONCORRENTES;0
RAIA;-22,9744931;-43,413912799999999;10121;CONCORRENTES;0
RAIA;-22,911975099999999;-43,187943300000001;10122;CONCORRENTES;0
RAIA;-22,935026799999999;-43,335708599999997;10123;CONCORRENTES;0
RAIA;-22,965495799999999;-43,1806755;10124;CONCORRENTES;0
RAIA;-22,926086999999999;-43,245774249999997;10125;CONCORRENTES;0
RAIA;-22,8744835;-43,336736399999999;10126;CONCORRENTES;0
RAIA;-22,9243104;-43,228229900000002;10127;CONCORRENTES;0
RAIA;-22,928880599999999;-43,237225100000003;10128;CONCORRENTES;0
RAIA;-22,902709900000001;-43,559211500000004;10129;CONCORRENTES;0
RAIA;-22,904972900000001;-43,176391900000013;10130;CONCORRENTES;0
RAIA;-22,933695;-43,185720699999997;10131;CONCORRENTES;0
RAIA;-22,902967700000001;-43,282407300000003;10132;CONCORRENTES;0
