REDE,NR_LATITUDE_LOJA,NR_LONGITUDE_LOJA,ID_LOJA_LEGADO,TIPO_LOJA,FL_ANALISE_MADURAS,Qtd_Lojas_Venancio,Qtd_Lojas_Concorrentes,Qtd_Total_Lojas_Proximas
PACHECO,-21.7543225,-41.3487367,10216,CONCORRENTES,0,0,0,0
PACHECO,-21.7624372,-41.3248898,10217,CONCORRENTES,0,0,0,0
PACHECO,-21.7624531,-41.3325582,10218,CONCORRENTES,0,0,0,0
PACHECO,-22.8547476,-43.0216105,10219,CONCORRENTES,0,0,0,0
PACHECO,-22.638868,-43.271897,10220,CONCORRENTES,0,0,0,0
PACHECO,-22.785533,-43.3097521,10221,CONCORRENTES,0,0,0,0
PACHECO,-22.787049,-43.3107478,10222,CONCORRENTES,0,0,0,0
PACHECO,-22.7905271,-43.306742,10223,CONCORRENTES,0,0,0,0
PACHECO,-22.7950067,-43.3026539,10224,CONCORRENTES,0,0,0,0
PACHECO,-22.7874671,-43.3132832,10225,CONCORRENTES,0,0,0,0
PACHECO,-22.6795694,-43.2634073,10226,CONCORRENTES,0,0,0,0
PACHECO,-22.7963112,-43.3188863,10227,CONCORRENTES,0,0,0,0
PACHECO,-22.5892503,-43.3042044,10228,CONCORRENTES,0,0,0,0
PACHECO,-22.6776418,-43.2477276,10229,CONCORRENTES,0,0,0,0
PACHECO,-22.6200193,-43.198251,10230,CONCORRENTES,0,0,0,0
PACHECO,-22.7740148,-43.2954193,10231,CONCORRENTES,0,0,0,0
PACHECO,-22.7894893,-43.3118276,10232,CONCORRENTES,0,0,0,0
PACHECO,-22.7873313,-43.3117608,10233,CONCORRENTES,0,0,0,0
PACHECO,-22.5254447,-42.9816384,10234,CONCORRENTES,0,0,0,0
PACHECO,-22.8405564,-42.2231273,10235,CONCORRENTES,0,0,0,0
PACHECO,-22.7503128,-42.8602119,10236,CONCORRENTES,0,0,0,0
PACHECO,-22.7727638,-42.9221555,10237,CONCORRENTES,0,0,0,0
PACHECO,-22.7463938,-42.8563092,10238,CONCORRENTES,0,0,0,0
PACHECO,-22.8703508,-43.7786991,10239,CONCORRENTES,0,0,0,0
PACHECO,-22.8722548,-43.774774,10240,CONCORRENTES,0,0,0,0
PACHECO,-22.8702767,-43.7814739,10241,CONCORRENTES,0,0,0,0
PACHECO,-22.8701509,-43.7793267,10242,CONCORRENTES,0,0,0,0
PACHECO,-21.2071449,-41.8889587,10243,CONCORRENTES,0,0,0,0
PACHECO,-22.3727244,-41.77835,10244,CONCORRENTES,0,0,0,0
PACHECO,-22.3758193,-41.7771472,10245,CONCORRENTES,0,0,0,0
PACHECO,-22.395194,-41.783873,10246,CONCORRENTES,0,0,0,0
PACHECO,-22.4042949,-41.8021812,10247,CONCORRENTES,0,0,0,0
PACHECO,-22.609535,-43.1784621,10248,CONCORRENTES,0,0,0,0
PACHECO,-22.6597394,-43.0362685,10249,CONCORRENTES,0,0,0,0
PACHECO,-22.6561917,-43.0394818,10250,CONCORRENTES,0,0,0,0
PACHECO,-22.655717,-43.039038,10251,CONCORRENTES,0,0,0,0
PACHECO,-22.9162951,-42.8163134,10252,CONCORRENTES,0,0,0,0
PACHECO,-22.9596467,-42.9795604,10253,CONCORRENTES,0,0,0,0
PACHECO,-22.9172855,-42.8177387,10254,CONCORRENTES,0,0,0,0
PACHECO,-22.7825888,-43.4302527,10255,CONCORRENTES,0,0,0,0
PACHECO,-22.7853279,-43.4302313,10256,CONCORRENTES,0,0,0,0
PACHECO,-22.8100709,-43.4147016,10257,CONCORRENTES,0,0,0,0
